Topic,Topic.1,Topic.2,Topic.3,Topic.4,Topic.5,Topic.6,Topic.7,Topic.8,Topic.9
0.02933,2.2e-4,2.2e-4,2.2e-4,0.08123,2.2e-4,2.2e-4,2.2e-4,0.74941,0.13873
0.25521,2.9e-4,2.9e-4,2.9e-4,2.9e-4,2.9e-4,0.01224,2.9e-4,0.30148,0.42932
0.07511,5.2e-4,0.70167,0.10383,5.2e-4,0.1163,5.2e-4,5.2e-4,5.2e-4,5.2e-4
0.05812,8.7e-4,8.7e-4,0.09543,8.7e-4,8.7e-4,0.79112,0.05012,8.7e-4,8.7e-4
2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,0.95216,2.8e-4,0.0456
4.8e-4,0.05443,0.16746,0.77475,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4,4.8e-4
2.5e-4,2.5e-4,0.23746,0.76055,2.5e-4,2.5e-4,2.5e-4,2.5e-4,2.5e-4,2.5e-4
0.18817,2.1e-4,0.1517,0.19137,2.1e-4,2.1e-4,0.41945,2.1e-4,0.04825,2.1e-4
0.985,0.00167,0.00167,0.00167,0.00167,0.00167,0.00167,0.00167,0.00167,0.00167
0.17642,3.8e-4,0.121,0.22103,0.07643,3.8e-4,0.07899,3.8e-4,0.32463,3.8e-4
3.6e-4,0.09011,0.13909,0.70409,3.6e-4,3.6e-4,3.6e-4,3.6e-4,0.06453,3.6e-4
6.3e-4,6.3e-4,0.84385,6.3e-4,6.3e-4,0.15108,6.3e-4,6.3e-4,6.3e-4,6.3e-4
0.97567,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027
2.5e-4,2.5e-4,2.5e-4,0.48403,0.06979,0.39774,0.04691,2.5e-4,2.5e-4,2.5e-4
5.1e-4,5.1e-4,0.45077,0.17374,5.1e-4,5.1e-4,0.37195,5.1e-4,5.1e-4,5.1e-4
3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4,0.99717,3.1e-4,3.1e-4,3.1e-4
4.7e-4,4.7e-4,4.7e-4,0.72325,4.7e-4,4.7e-4,4.7e-4,4.7e-4,0.16317,0.11027
0.06177,2.8e-4,2.8e-4,0.93597,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4
4.3e-4,4.3e-4,0.48429,4.3e-4,4.3e-4,0.07902,4.3e-4,4.3e-4,0.43368,4.3e-4
5e-4,0.59293,0.26409,5e-4,5e-4,5e-4,5e-4,5e-4,0.1395,5e-4
2.8e-4,0.07224,2.8e-4,0.24036,0.32317,0.19143,2.8e-4,2.8e-4,0.17138,2.8e-4
0.05608,2.3e-4,2.3e-4,2.3e-4,0.02265,0.02563,2.3e-4,2.3e-4,0.89424,2.3e-4
2.7e-4,2.7e-4,2.7e-4,0.15268,2.7e-4,0.0863,0.43595,2.7e-4,2.7e-4,0.32342
3.1e-4,3.1e-4,3.1e-4,0.39256,0.03621,3.1e-4,0.54733,3.1e-4,3.1e-4,0.02205
0.01018,3.9e-4,3.9e-4,0.40903,3.9e-4,0.05197,0.5265,3.9e-4,3.9e-4,3.9e-4
0.14872,7.9e-4,7.9e-4,0.0891,0.04489,7.9e-4,0.1365,7.9e-4,7.9e-4,0.57685
4.7e-4,4.7e-4,4.7e-4,4.7e-4,4.7e-4,4.7e-4,0.0725,4.7e-4,0.07753,0.84664
0.00715,0.00714,0.00714,0.37049,0.00714,0.00714,0.10712,0.00714,0.47238,0.00714
3.3e-4,3.3e-4,0.56323,3.3e-4,3.3e-4,3.3e-4,0.43414,3.3e-4,3.3e-4,3.3e-4
0.08368,7.8e-4,0.15406,0.66264,7.8e-4,7.8e-4,0.09494,7.8e-4,7.8e-4,7.8e-4
4.9e-4,4.9e-4,0.10227,0.18974,0.11292,0.40558,0.1745,0.01305,4.9e-4,4.9e-4
0.14355,3.1e-4,3.1e-4,3.1e-4,0.02891,0.19389,3.1e-4,0.02065,0.11091,0.50085
4.2e-4,4.2e-4,0.30652,0.69015,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4
6.5e-4,6.5e-4,0.07248,0.34187,0.28972,6.5e-4,6.5e-4,0.00767,0.28501,6.5e-4
0.92558,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.06282,0.00145
0.80742,0.00149,0.18064,0.00149,0.00149,0.00149,0.00149,0.00149,0.00149,0.00149
0.98,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222,0.00222
0.17736,6.7e-4,0.26464,0.2108,0.30729,6.7e-4,6.7e-4,6.7e-4,0.03654,6.7e-4
3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4,0.99665,3.7e-4,3.7e-4
0.93547,9.6e-4,9.6e-4,9.6e-4,9.6e-4,9.6e-4,0.05684,9.6e-4,9.6e-4,9.6e-4
0.91817,0.00909,0.00909,0.00909,0.00909,0.00909,0.00909,0.00909,0.00909,0.00909
0.98695,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145,0.00145
0.99867,1.5e-4,1.5e-4,1.5e-4,1.5e-4,1.5e-4,1.5e-4,1.5e-4,1.5e-4,1.5e-4
0.82314,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.12685,0.00625,0.00625
0.5612,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.00132,0.35925,0.07033
0.06971,3.7e-4,0.21332,0.10568,3.7e-4,3.7e-4,3.7e-4,3.7e-4,0.51461,0.09485
0.81162,7.2e-4,7.2e-4,7.2e-4,7.2e-4,0.05917,0.12414,7.2e-4,7.2e-4,7.2e-4
3.8e-4,3.8e-4,0.05145,3.8e-4,3.8e-4,0.03776,0.90814,3.8e-4,3.8e-4,3.8e-4
1.4e-4,1.4e-4,1.4e-4,1.4e-4,1.4e-4,0.9987,1.4e-4,1.4e-4,1.4e-4,1.4e-4
0.00196,0.00196,0.98235,0.00196,0.00196,0.00196,0.00196,0.00196,0.00196,0.00196
1.4e-4,1.4e-4,1.4e-4,1.4e-4,1.4e-4,1.4e-4,1.4e-4,1.4e-4,1.4e-4,0.99872
1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.99913
0.16945,0.24933,1.3e-4,1.3e-4,1.3e-4,1.3e-4,1.4e-4,1.3e-4,0.39912,0.18129
0.98676,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147
0.98861,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127,0.00127
0.91695,0.00147,0.07128,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147,0.00147
0.97907,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233,0.00233
0.13443,6.9e-4,0.18855,6.9e-4,0.0909,6.9e-4,6.9e-4,6.9e-4,0.52785,0.0548
0.30582,0.00385,0.08877,0.57848,0.00385,0.00385,0.00385,0.00385,0.00385,0.00385
0.17614,4.6e-4,0.49089,0.32974,4.6e-4,4.6e-4,4.6e-4,4.6e-4,4.6e-4,4.6e-4
6.6e-4,0.99408,6.6e-4,6.6e-4,6.6e-4,6.6e-4,6.6e-4,6.6e-4,6.6e-4,6.6e-4
0.00093000000000000005,0.62821,0.29455,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.03207,0.00093000000000000005,0.03956,0.00093000000000000005
4.2e-4,4.2e-4,0.46565,0.25657,4.2e-4,4.2e-4,0.27484,4.2e-4,4.2e-4,4.2e-4
2.3e-4,0.71732,2.3e-4,2.3e-4,2.3e-4,2.3e-4,2.3e-4,2.3e-4,0.28088,2.3e-4
0.10494,5.7e-4,0.41769,0.47339,5.7e-4,5.7e-4,5.7e-4,5.7e-4,5.7e-4,5.7e-4
7.4e-4,7.4e-4,0.62697,7.4e-4,7.4e-4,7.4e-4,0.36714,7.4e-4,7.4e-4,7.4e-4
0.96666,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.00371,0.0037,0.0037
0.12972,1.3e-4,1.3e-4,0.38156,1.3e-4,0.05891,1.3e-4,1.3e-4,0.27777,0.15142
0.32346,2.8e-4,0.2968,0.37781,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4
0.15531,2.6e-4,2.6e-4,0.07387,2.6e-4,2.6e-4,2.6e-4,0.70671,0.06254,2.6e-4
3.8e-4,0.64678,3.8e-4,3.8e-4,3.8e-4,0.35021,3.8e-4,3.8e-4,3.8e-4,3.8e-4
0.26678,0.00123,0.00123,0.18874,0.00123,0.00123,0.00123,0.00123,0.00123,0.53583
8.5e-4,8.5e-4,0.55429,8.5e-4,0.37349,8.5e-4,8.5e-4,8.5e-4,0.06623,8.5e-4
0.13301,2.6e-4,2.6e-4,2.6e-4,0.06771,2.6e-4,2.6e-4,0.02781,0.76994,2.6e-4
4.2e-4,4.2e-4,4.2e-4,0.29914,0.13857,0.14898,0.02913,4.2e-4,0.38211,4.2e-4
0.00093000000000000005,0.08443,0.90816,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005
6e-4,0.01883,0.84485,6e-4,6e-4,0.13213,6e-4,6e-4,6e-4,6e-4
0.10441,0.33796,3.8e-4,0.40703,3.8e-4,0.11975,3.8e-4,3.8e-4,0.02895,3.8e-4
6.9e-4,0.21874,6.9e-4,6.9e-4,0.25641,6.9e-4,6.9e-4,6.9e-4,0.35327,0.16741
0.00093000000000000005,0.00093000000000000005,0.8275,0.10672,0.00093000000000000005,0.05924,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005,0.00093000000000000005
0.60594,8.6e-4,8.6e-4,0.15263,8.6e-4,8.6e-4,8.6e-4,8.6e-4,0.23539,8.6e-4
0.13221,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,0.86513
0.84526,0.00149,0.00149,0.14279,0.00149,0.00149,0.00149,0.00149,0.00149,0.00149
0.3465,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.00303,0.62925,0.00303
0.00238,0.00238,0.00238,0.82152,0.00238,0.00238,0.00238,0.00238,0.15942,0.00238
4.4e-4,4.4e-4,4.4e-4,4.4e-4,4.4e-4,0.78686,4.4e-4,4.4e-4,0.0818,0.12826
6.5e-4,6.5e-4,0.28205,6.5e-4,0.20462,0.41342,6.5e-4,6.5e-4,0.09599,6.5e-4
5.6e-4,0.14966,0.08545,5.6e-4,5.6e-4,5.6e-4,5.6e-4,5.6e-4,0.76096,5.6e-4
5.8e-4,5.8e-4,5.8e-4,0.13799,5.8e-4,5.8e-4,0.77575,5.8e-4,5.8e-4,0.08222
3.8e-4,3.8e-4,0.05975,3.8e-4,3.8e-4,0.57536,3.8e-4,0.36221,3.8e-4,3.8e-4
0.98125,0.00208,0.00208,0.00208,0.00208,0.00208,0.00208,0.00208,0.00208,0.00208
0.85677,0.00141,0.00141,0.05476,0.07861,0.00141,0.00141,0.00141,0.00141,0.00141
3.8e-4,0.845,3.8e-4,0.10555,0.02247,3.8e-4,3.8e-4,3.8e-4,3.8e-4,0.02469
7.9e-4,7.9e-4,0.19587,7.9e-4,7.9e-4,0.26015,7.9e-4,0.42933,0.10993,7.9e-4
6.5e-4,6.5e-4,0.95911,6.5e-4,0.03573,6.5e-4,6.5e-4,6.5e-4,6.5e-4,6.5e-4
0.28269,7e-4,7e-4,0.23791,7e-4,7e-4,0.38338,7e-4,7e-4,0.09183
0.07936,5e-4,0.68405,5e-4,5e-4,5e-4,5e-4,5e-4,5e-4,0.2331
3.3e-4,0.77178,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,0.22556,3.3e-4
0.00769,0.00769,0.55364,0.26562,0.00769,0.00769,0.00769,0.00769,0.12688,0.00769
3.5e-4,0.29542,3.5e-4,0.17459,3.5e-4,3.5e-4,0.05431,3.5e-4,0.47358,3.5e-4
0.07606,0.17901,0.19704,0.54591,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4,3.3e-4
5.2e-4,5.2e-4,0.17992,0.69995,0.1165,5.2e-4,5.2e-4,5.2e-4,5.2e-4,5.2e-4
2.4e-4,2.4e-4,0.07078,2.4e-4,0.88391,2.4e-4,2.4e-4,2.4e-4,2.4e-4,0.04364
3.9e-4,0.20803,0.12922,0.37174,3.9e-4,3.9e-4,3.9e-4,3.9e-4,3.9e-4,0.28867
5e-4,5e-4,0.9064,5e-4,0.03811,5e-4,5e-4,5e-4,0.05201,5e-4
3.9e-4,0.14486,0.5345,0.27229,3.9e-4,3.9e-4,3.9e-4,3.9e-4,0.04599,3.9e-4
0.01649,4.5e-4,0.45027,0.36541,0.02192,4.5e-4,4.5e-4,4.5e-4,0.14366,4.5e-4
4.4e-4,4.4e-4,4.4e-4,4.4e-4,4.4e-4,0.32988,4.4e-4,4.4e-4,0.66661,4.4e-4
0.01429,0.01429,0.01429,0.8714,0.01429,0.01429,0.01429,0.01429,0.01429,0.01429
4.3e-4,4.3e-4,0.99614,4.3e-4,4.3e-4,4.3e-4,4.3e-4,4.3e-4,4.3e-4,4.3e-4
4e-4,4e-4,4e-4,0.73534,4e-4,0.26149,4e-4,4e-4,4e-4,4e-4
6.9e-4,6.9e-4,0.72911,6.9e-4,6.9e-4,6.9e-4,6.9e-4,6.9e-4,0.26537,6.9e-4
0.15348,0.28606,0.1498,6.1e-4,6.1e-4,0.37453,6.1e-4,6.1e-4,0.0331,6.1e-4
0.05926,4e-4,4e-4,0.58119,4e-4,0.3548,0.00236,4e-4,4e-4,4e-4
0.07214,5.6e-4,5.6e-4,0.19493,5.6e-4,5.6e-4,5.6e-4,5.6e-4,0.63964,0.08995
9.4e-4,9.4e-4,0.13652,0.21525,9.4e-4,9.4e-4,9.4e-4,0.64162,9.4e-4,9.4e-4
7.2e-4,0.05401,0.10968,7.2e-4,0.55743,7.2e-4,7.2e-4,0.27456,7.2e-4,7.2e-4
0.05775,2.8e-4,0.94002,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4,2.8e-4
6.2e-4,0.06267,0.54207,6.2e-4,0.16897,6.2e-4,0.22258,6.2e-4,6.2e-4,6.2e-4
0.8061,3.8e-4,3.8e-4,3.8e-4,3.8e-4,3.8e-4,3.8e-4,3.8e-4,0.05803,0.13323
5.1e-4,0.44506,0.03181,0.1016,5.1e-4,5.1e-4,5.1e-4,5.1e-4,0.34717,0.07184
2.2e-4,2.2e-4,2.2e-4,2.2e-4,2.2e-4,2.2e-4,2.2e-4,2.2e-4,0.79383,0.20441
0.12972,1.3e-4,0.09911,0.04854,1.3e-4,1.3e-4,1.3e-4,1.3e-4,0.72188,1.3e-4
0.09642,6.1e-4,6.1e-4,6.1e-4,6.1e-4,6.1e-4,0.10173,6.1e-4,6.1e-4,0.79756
0.82096,0.00143,0.09384,0.00143,0.00143,0.00143,0.00143,0.0752,0.00143,0.00143
0.57245,5e-5,5e-5,5e-5,5e-5,5e-5,5e-5,0.00639,5e-5,0.42081
0.14029,2.9e-4,0.0802,0.66172,2.9e-4,2.9e-4,0.11606,2.9e-4,2.9e-4,2.9e-4
0.93571,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714,0.00714
0.64374,3.2e-4,3.2e-4,3.2e-4,3.2e-4,3.2e-4,0.07377,3.2e-4,0.26067,0.01993
3.7e-4,3.7e-4,0.25737,0.73969,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4,3.7e-4
0.12873,1.6e-4,0.15753,0.00415,1.6e-4,0.47766,1.6e-4,1.6e-4,0.23113,1.6e-4
4.1e-4,0.26653,0.31882,0.34788,4.1e-4,4.1e-4,4.1e-4,4.1e-4,0.03839,0.02631
5.4e-4,5.4e-4,5.4e-4,0.78,5.4e-4,5.4e-4,5.4e-4,5.4e-4,0.10497,0.11123
3.7e-4,0.07252,3.7e-4,0.06206,0.04554,3.7e-4,0.81765,3.7e-4,3.7e-4,3.7e-4
2e-4,0.13204,2e-4,2e-4,2e-4,0.12133,2e-4,2e-4,0.74523,2e-4
3.1e-4,0.73841,0.25912,3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4
0.06114,3.2e-4,0.34828,3.2e-4,3.2e-4,3.2e-4,3.2e-4,3.2e-4,0.32697,0.26171
6e-4,0.18581,0.3055,6e-4,6e-4,6e-4,6e-4,6e-4,0.44508,0.06004
4e-4,4.1e-4,0.38274,0.42686,4e-4,0.1043,0.08367,4e-4,4.1e-4,4e-4
0.79979,0.00294,0.00294,0.00294,0.00294,0.00294,0.00294,0.17667,0.00294,0.00294
0.00204,0.00204,0.17093,0.19377,0.62101,0.00204,0.00204,0.00204,0.00204,0.00204
7.7e-4,7.7e-4,0.62177,0.25378,7.7e-4,7.7e-4,0.11906,7.7e-4,7.7e-4,7.7e-4
0.12432,3.8e-4,0.36532,0.43936,3.8e-4,3.8e-4,3.8e-4,0.04934,0.01977,3.8e-4
3.2e-4,3.2e-4,3.2e-4,0.75009,3.2e-4,3.2e-4,3.2e-4,3.2e-4,3.2e-4,0.24734
3.1e-4,0.32198,0.11712,3.1e-4,3.1e-4,3.1e-4,0.05551,3.1e-4,0.50351,3.1e-4
3.1e-4,3.1e-4,3.1e-4,0.72731,0.2702,3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4
0.76345,5.8e-4,5.8e-4,5.8e-4,5.8e-4,5.8e-4,5.8e-4,0.01359,0.21889,5.8e-4
2e-4,2e-4,2e-4,0.11295,0.11496,0.31971,0.1604,2e-4,2e-4,0.29101
1.9e-4,1.9e-4,0.54726,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,0.45124
0.05196,2.5e-4,2.5e-4,2.5e-4,2.5e-4,2.5e-4,2.5e-4,2.5e-4,2.5e-4,0.94605
0.26602,0.00161,0.00161,0.358,0.00161,0.00161,0.00161,0.00161,0.00161,0.36469
7.8e-4,7.8e-4,7.8e-4,0.62497,7.8e-4,0.36882,7.8e-4,7.8e-4,7.8e-4,7.8e-4
0.59544,0.00278,0.00278,0.38233,0.00278,0.00278,0.00278,0.00278,0.00278,0.00278
0.3784,0.12352,0.15868,3.3e-4,0.26149,3.3e-4,3.3e-4,3.3e-4,0.07624,3.3e-4
0.75409,9.8e-4,9.8e-4,9.8e-4,0.11596,9.8e-4,9.8e-4,0.12308,9.8e-4,9.8e-4
0.66992,3.3e-4,0.08899,0.16497,3.3e-4,3.3e-4,0.07413,3.3e-4,3.3e-4,3.3e-4
0.85194,5.5e-4,5.5e-4,5.5e-4,0.0307,0.04366,0.07039,5.5e-4,5.5e-4,5.5e-4
0.81706,7.1e-4,7.1e-4,0.17722,7.1e-4,7.1e-4,7.1e-4,7.1e-4,7.1e-4,7.1e-4
1.6e-4,1.6e-4,1.6e-4,1.6e-4,1.6e-4,1.6e-4,1.6e-4,1.6e-4,1.6e-4,0.99854
0.9948,5.8e-4,5.8e-4,5.8e-4,5.8e-4,5.8e-4,5.8e-4,5.8e-4,5.8e-4,5.8e-4
2e-4,0.41479,0.18159,0.39244,0.01,2e-4,2e-4,2e-4,2e-4,2e-4
1.6e-4,1.6e-4,0.14934,1.6e-4,0.04224,1.6e-4,0.75498,1.6e-4,1.6e-4,0.0525
0.14144,6.6e-4,6.6e-4,6.6e-4,0.41019,6.6e-4,6.6e-4,0.04344,6.6e-4,0.40099
0.28773,3.6e-4,0.20726,0.28159,3.6e-4,3.6e-4,3.6e-4,3.6e-4,0.13934,0.08229
0.22372,6.7e-4,0.29579,0.47582,6.7e-4,6.7e-4,6.7e-4,6.7e-4,6.7e-4,6.7e-4
4.1e-4,4.1e-4,4.1e-4,0.24647,4.1e-4,4.1e-4,0.52156,4.1e-4,4.1e-4,0.22912
6.9e-4,6.9e-4,0.1558,0.10797,0.24751,6.9e-4,6.9e-4,6.9e-4,0.48461,6.9e-4
6.5e-4,0.10991,6.5e-4,0.81982,6.5e-4,6.5e-4,6.5e-4,6.5e-4,0.06572,6.5e-4
0.99524,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4,5.3e-4
3.1e-4,3.1e-4,0.05919,0.02558,3.1e-4,3.1e-4,3.1e-4,3.1e-4,0.91308,3.1e-4
0.97567,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027
0.20179,3.6e-4,0.24633,0.50289,3.6e-4,3.6e-4,3.6e-4,3.6e-4,0.04681,3.6e-4
0.00729,6e-4,0.73723,0.25129,6e-4,6e-4,6e-4,6e-4,6e-4,6e-4
6e-4,6e-4,0.91197,0.08321,6e-4,6e-4,6e-4,6e-4,6e-4,6e-4
0.90442,7.6e-4,7.6e-4,7.6e-4,0.08952,7.6e-4,7.6e-4,7.6e-4,7.6e-4,7.6e-4
0.82811,0.00152,0.15976,0.00152,0.00152,0.00152,0.00152,0.00152,0.00152,0.00152
8e-4,8e-4,8e-4,0.10305,0.17956,8e-4,8e-4,8e-4,0.71179,8e-4
7.4e-4,7.4e-4,0.9587,7.4e-4,7.4e-4,7.4e-4,7.4e-4,0.03537,7.4e-4,7.4e-4
0.34931,0.001,0.16639,0.001,0.06721,0.001,0.001,0.001,0.001,0.41109
6.9e-4,6.9e-4,0.99375,6.9e-4,6.9e-4,6.9e-4,6.9e-4,6.9e-4,6.9e-4,6.9e-4
0.08713,3.1e-4,3.1e-4,0.91038,3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4,3.1e-4
0.10339,4.2e-4,4.2e-4,0.89326,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4,4.2e-4
0.21762,1.4e-4,1.4e-4,0.78124,1.4e-4,1.4e-4,1.4e-4,1.4e-4,1.4e-4,1.4e-4
0.97428,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286
0.70349,0.00106,0.28799,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106
0.87214,7.5e-4,0.12189,7.5e-4,7.5e-4,7.5e-4,7.5e-4,7.5e-4,7.5e-4,7.5e-4
0.93017,0.00164,0.056710000000000003,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164
0.98889,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123,0.00123
0.99091,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101,0.00101
0.98235,0.00196,0.00196,0.00196,0.00196,0.00196,0.00196,0.00196,0.00196,0.00196
0.17072,0.32092,0.50447,5.6e-4,5.6e-4,5.6e-4,5.6e-4,5.6e-4,5.6e-4,5.6e-4
0.24462,2.2e-4,2.2e-4,2.2e-4,2.2e-4,2.2e-4,2.2e-4,2.2e-4,2.2e-4,0.75366
0.06235,0.0345,0.41289,0.15319,4.7e-4,4.7e-4,4.7e-4,4.7e-4,0.33472,4.7e-4
6.5e-4,6.5e-4,0.31183,0.06377,0.32509,6.5e-4,6.5e-4,6.5e-4,0.29542,6.5e-4
0.26526,2.2e-4,2.2e-4,0.25349,2.2e-4,2.2e-4,0.42934,2.2e-4,0.01078,0.04004
2.1e-4,2.1e-4,0.99815,2.1e-4,2.1e-4,2.1e-4,2.1e-4,2.1e-4,2.1e-4,2.1e-4
0.16984,5e-4,5e-4,0.23115,5e-4,5e-4,5e-4,0.01529,0.58075,5e-4
2.1e-4,2.1e-4,0.12574,0.69259,2.1e-4,2.1e-4,2.1e-4,2.1e-4,0.06655,0.11387
0.84802,0.00286,0.00286,0.12912,0.00286,0.00286,0.00286,0.00286,0.00286,0.00286
2.6e-4,2.6e-4,2.6e-4,0.02835,2.6e-4,2.6e-4,2.6e-4,2.6e-4,2.6e-4,0.96958
